cc_num,amt,gender,category,is_fraud
6593939509150446,97.93,F,shopping_pos,0
371284424780634,7.95,M,shopping_net,0
3551217896304745,169.51,F,shopping_net,0
371284424780634,41.08,M,kids_pets,0
3560725013359375,36.96,F,food_dining,0
180065479077096,135.44,F,grocery_pos,0
3524574586339330,55.47,F,grocery_net,0
2720012583106919,294.77,M,grocery_pos,1
4587577161160601,830.58,F,misc_pos,1
3595111028444131,794.94,M,shopping_pos,1
3533742182628021,6.38,M,gas_transport,1
676245600876,1102.19,F,shopping_pos,1
4988304376504,748.92,M,shopping_pos,1
676245600876,9.57,F,gas_transport,1
3560246577314524,7.74,F,misc_pos,1
60427851591,727.32,M,misc_net,1
3592325941359225,283.93,F,grocery_pos,1
4890424426862856940,9.67,M,gas_transport,1
4561546772499,20.17,M,kids_pets,1
30153452207526,921.48,F,shopping_net,1
213114122496591,339.45,M,grocery_pos,1
213175487106448,864.48,F,misc_net,1
6011366578560244,282.6,M,grocery_pos,1
3546674063249004,672.46,M,shopping_pos,1
4783226709001,331.74,F,grocery_pos,1
676326610042,18.31,F,health_fitness,1
213161869125933,6.03,F,kids_pets,1
4562827002127,981.96,M,shopping_net,1
3535211949888417,813.03,F,misc_net,1
3540862542587229,49.51,F,personal_care,1
6011382886333463,850.66,M,shopping_net,1
4294040533480516,335.35,F,grocery_pos,1
4500002361389,312.89,M,grocery_pos,1
180017442990269,288.97,F,grocery_pos,1
3597337756918966,868.37,F,misc_net,1
4355790796238264643,1204.44,M,shopping_net,1
4482427013979020,825.71,F,shopping_pos,1
6011679934075347,20.38,F,personal_care,1
6011679934075347,492.51,F,entertainment,1
30408301059761,713.56,M,misc_net,1
639077309909,1080.21,M,shopping_net,1
6011231546538393,18.79,M,health_fitness,1
6011438889172900,850.47,F,misc_net,1
3521260686633367,11.08,M,travel,1
2248348993063230,301.01,F,grocery_pos,1
30143713661454,326.21,M,grocery_pos,1
3562264947797243,880.77,M,shopping_net,1
3548710338694745,11.28,M,grocery_net,1
4640395708703,855.4,F,shopping_net,1
5388659976630693,887.65,M,shopping_pos,1
38534201672254,1078.83,M,shopping_net,1
3567697931646329,271.43,M,grocery_pos,1
4992346398065154184,969.66,M,shopping_net,1
6554245334757802,1132.52,F,shopping_pos,1
4651007077623147,50.83,F,misc_pos,1
3560246577314524,340.92,F,grocery_pos,1
3536818734263520,12.13,M,gas_transport,1
342035762534413,334.28,F,grocery_pos,1
4124536010991657,811.41,F,misc_net,1
2291163933867244,280.91,M,grocery_pos,1
3554818239968984,324.74,M,grocery_pos,1
349813394357327,729.44,F,misc_net,1
6011681934117244,573.51,F,entertainment,1
3566373869538620,671.44,M,shopping_pos,1
30364087349027,940.05,M,shopping_net,1
4659625317833446364,312.88,M,grocery_pos,1
180068353086472,365.86,F,grocery_pos,1
374930071163758,1037.39,M,shopping_net,1
4228411452607671,895.02,M,shopping_net,1
4254074738931278,983.88,M,shopping_net,1
4659625317833446364,11.93,M,gas_transport,1
4561368699336875,10.02,F,gas_transport,1
2610529083834453,785.5,F,shopping_pos,1
4681601008538160,849.22,F,misc_net,1
3544606805704278,776.09,F,shopping_pos,1
3549202406645667,948.84,M,shopping_pos,1
6538891242532018,269.17,F,home,1
4005676619255478,10.24,M,gas_transport,1
4538566639857,713.0,M,misc_net,1
4952583804639909,938.73,F,misc_net,1
377654590313960,992.69,M,shopping_net,1
60416207185,20.41,F,personal_care,1
4844243189971,1145.9,M,shopping_pos,1
3567527758368741,893.53,F,shopping_pos,1
4134456652433447,1062.84,M,shopping_net,1
375904527651269,7.55,M,travel,1
345832460465610,291.76,M,grocery_pos,1
2248348993063230,316.57,F,grocery_pos,1
6526777409109795,313.68,M,grocery_pos,1
4629125581019,759.35,F,misc_net,1
2719496466799416,987.33,F,shopping_net,1
4642255475285942,187.35,F,home,1
4745996322265,9.38,F,gas_transport,1
4168696938629925,893.77,M,shopping_pos,1
347612609554823,292.59,M,grocery_pos,1
630424987505,939.91,F,misc_pos,1
2229824890647120,808.11,M,shopping_pos,1
4260128500325,935.64,F,shopping_net,1
371009169330125,629.78,M,misc_net,1
4209696857872688515,21.26,F,health_fitness,1
4390966588600992777,294.87,M,grocery_pos,1
3597337756918966,893.23,F,misc_net,1
3536918668124647,306.81,F,grocery_pos,1
4210078554961359092,615.49,F,entertainment,1
3554818239968984,987.16,M,shopping_net,1
342351256941125,18.81,F,personal_care,1
377993105397617,837.87,M,shopping_net,1
